model,dataset,definition,outcome,scope,n_seeds,n_problems,numerator_count,denominator_count,estimate,binomial_wilson95_lower,binomial_wilson95_upper,cluster_ci95_lower,cluster_ci95_upper
qwen,math,unconditional,extended_plurality_accuracy,leave_out:271828,2,400,669.0,800.0,0.83625,0.8090114425357793,0.8602747632159038,0.8,0.87
qwen,math,unconditional,base_pass_at_1,all_seeds,3,400,813.125,1200.0,0.6776041666666667,,,0.6372890625,0.7185416666666665
qwen,math,unconditional,base_pass_at_1,leave_out:42,2,400,543.75,800.0,0.6796875,,,0.6390625,0.7200039062499999
qwen,math,unconditional,base_pass_at_1,leave_out:314159,2,400,542.125,800.0,0.67765625,,,0.63671875,0.71875
qwen,math,unconditional,base_pass_at_1,leave_out:271828,2,400,540.375,800.0,0.67546875,,,0.63499609375,0.71640625
qwen,math,unconditional,extended_pass_at_1,all_seeds,3,400,931.25,1200.0,0.7760416666666666,,,0.7404166666666667,0.8108333333333333
qwen,math,unconditional,extended_pass_at_1,leave_out:42,2,400,621.375,800.0,0.77671875,,,0.74109375,0.8115625
qwen,math,unconditional,extended_pass_at_1,leave_out:314159,2,400,620.625,800.0,0.77578125,,,0.7401523437499999,0.81078125
qwen,math,unconditional,extended_pass_at_1,leave_out:271828,2,400,620.5,800.0,0.775625,,,0.73999609375,0.81015625
qwen,all,strict_all_wrong,repair_plurality,all_seeds,3,800,0.0,50.0,0.0,0.0,0.07134759913335868,0.0,0.0
qwen,all,strict_all_wrong,repair_plurality,leave_out:42,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0
qwen,all,strict_all_wrong,repair_plurality,leave_out:314159,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0
qwen,all,strict_all_wrong,repair_plurality,leave_out:271828,2,800,0.0,32.0,0.0,0.0,0.10717919825507058,0.0,0.0
qwen,all,strict_all_wrong,repair_any,all_seeds,3,800,0.0,50.0,0.0,0.0,0.07134759913335868,0.0,0.0
qwen,all,strict_all_wrong,repair_any,leave_out:42,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0
qwen,all,strict_all_wrong,repair_any,leave_out:314159,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0
qwen,all,strict_all_wrong,repair_any,leave_out:271828,2,800,0.0,32.0,0.0,0.0,0.10717919825507058,0.0,0.0
qwen,all,strict_all_wrong,repair_tie_lower,all_seeds,3,800,0.0,50.0,0.0,0.0,0.07134759913335868,0.0,0.0
qwen,all,strict_all_wrong,repair_tie_lower,leave_out:42,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0
qwen,all,strict_all_wrong,repair_tie_lower,leave_out:314159,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0
qwen,all,strict_all_wrong,repair_tie_lower,leave_out:271828,2,800,0.0,32.0,0.0,0.0,0.10717919825507058,0.0,0.0
qwen,all,strict_all_wrong,repair_tie_upper,all_seeds,3,800,0.0,50.0,0.0,0.0,0.07134759913335868,0.0,0.0
qwen,all,strict_all_wrong,repair_tie_upper,leave_out:42,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0
qwen,all,strict_all_wrong,repair_tie_upper,leave_out:314159,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0
qwen,all,strict_all_wrong,repair_tie_upper,leave_out:271828,2,800,0.0,32.0,0.0,0.0,0.10717919825507058,0.0,0.0
qwen,all,plurality_wrong,repair_plurality,all_seeds,3,800,0.0,62.0,0.0,0.0,0.058344072101372456,0.0,0.0
qwen,all,plurality_wrong,repair_plurality,leave_out:42,2,800,0.0,41.0,0.0,0.0,0.08566757018443184,0.0,0.0
qwen,all,plurality_wrong,repair_plurality,leave_out:314159,2,800,0.0,44.0,0.0,0.0,0.08029560375848063,0.0,0.0
qwen,all,plurality_wrong,repair_plurality,leave_out:271828,2,800,0.0,39.0,0.0,0.0,0.08966685370757138,0.0,0.0
qwen,all,plurality_wrong,repair_any,all_seeds,3,800,0.0,62.0,0.0,0.0,0.058344072101372456,0.0,0.0
qwen,all,plurality_wrong,repair_any,leave_out:42,2,800,0.0,41.0,0.0,0.0,0.08566757018443184,0.0,0.0
qwen,all,plurality_wrong,repair_any,leave_out:314159,2,800,0.0,44.0,0.0,0.0,0.08029560375848063,0.0,0.0
qwen,all,plurality_wrong,repair_any,leave_out:271828,2,800,0.0,39.0,0.0,0.0,0.08966685370757138,0.0,0.0
qwen,all,plurality_wrong,repair_tie_lower,all_seeds,3,800,0.0,62.0,0.0,0.0,0.058344072101372456,0.0,0.0
qwen,all,plurality_wrong,repair_tie_lower,leave_out:42,2,800,0.0,41.0,0.0,0.0,0.08566757018443184,0.0,0.0
qwen,all,plurality_wrong,repair_tie_lower,leave_out:314159,2,800,0.0,44.0,0.0,0.0,0.08029560375848063,0.0,0.0
qwen,all,plurality_wrong,repair_tie_lower,leave_out:271828,2,800,0.0,39.0,0.0,0.0,0.08966685370757138,0.0,0.0
qwen,all,plurality_wrong,repair_tie_upper,all_seeds,3,800,1.0,62.0,0.016129032258064516,0.00285286716862182,0.08586720260689991,0.0,0.057692307692307696
qwen,all,plurality_wrong,repair_tie_upper,leave_out:42,2,800,1.0,41.0,0.024390243902439025,0.004318531568912411,0.12595062055774228,0.0,0.08571428571428572
qwen,all,plurality_wrong,repair_tie_upper,leave_out:314159,2,800,1.0,44.0,0.022727272727272728,0.004023252060053231,0.11807709698213281,0.0,0.08
qwen,all,plurality_wrong,repair_tie_upper,leave_out:271828,2,800,0.0,39.0,0.0,0.0,0.08966685370757138,0.0,0.0
qwen,all,first_chain_wrong,repair_plurality,all_seeds,3,800,40.0,139.0,0.28776978417266186,0.21901556271223302,0.36793908975976763,0.19736121782558588,0.392864774114774
qwen,all,first_chain_wrong,repair_plurality,leave_out:42,2,800,23.0,89.0,0.25842696629213485,0.17881543486130383,0.3580294128371103,0.16216216216216217,0.37037037037037035
qwen,all,first_chain_wrong,repair_plurality,leave_out:314159,2,800,26.0,93.0,0.27956989247311825,0.19850339172000359,0.3781242169582882,0.18556701030927836,0.3888888888888889
qwen,all,first_chain_wrong,repair_plurality,leave_out:271828,2,800,31.0,96.0,0.3229166666666667,0.23775841402236636,0.4217016900105605,0.21495327102803738,0.4418665850673194
qwen,all,first_chain_wrong,repair_any,all_seeds,3,800,57.0,139.0,0.41007194244604317,0.33179557565086976,0.49318520929489323,0.304,0.5298507462686567
qwen,all,first_chain_wrong,repair_any,leave_out:42,2,800,35.0,89.0,0.39325842696629215,0.2982154443824812,0.497134604600539,0.27835051546391754,0.5217391304347826
qwen,all,first_chain_wrong,repair_any,leave_out:314159,2,800,40.0,93.0,0.43010752688172044,0.3342352296059101,0.5315247438774507,0.31577761972498813,0.5543478260869565
qwen,all,first_chain_wrong,repair_any,leave_out:271828,2,800,39.0,96.0,0.40625,0.31345302166501676,0.5062611510582975,0.28865979381443296,0.5333333333333333
qwen,all,first_chain_wrong,repair_tie_lower,all_seeds,3,800,37.0,139.0,0.26618705035971224,0.19972461965434832,0.3452254212046355,0.1811579938377268,0.3673544417767106
qwen,all,first_chain_wrong,repair_tie_lower,leave_out:42,2,800,22.0,89.0,0.24719101123595505,0.16928236444786657,0.34602038314349703,0.1506849315068493,0.358974358974359
qwen,all,first_chain_wrong,repair_tie_lower,leave_out:314159,2,800,24.0,93.0,0.25806451612903225,0.1799852217103694,0.35533776342434115,0.16666666666666666,0.3627673796791441
qwen,all,first_chain_wrong,repair_tie_lower,leave_out:271828,2,800,28.0,96.0,0.2916666666666667,0.21016592525216699,0.3891989030218646,0.1927710843373494,0.40229885057471265
qwen,all,first_chain_wrong,repair_tie_upper,all_seeds,3,800,40.0,139.0,0.28776978417266186,0.21901556271223302,0.36793908975976763,0.19736121782558588,0.392864774114774
qwen,all,first_chain_wrong,repair_tie_upper,leave_out:42,2,800,23.0,89.0,0.25842696629213485,0.17881543486130383,0.3580294128371103,0.16216216216216217,0.37037037037037035
qwen,all,first_chain_wrong,repair_tie_upper,leave_out:314159,2,800,26.0,93.0,0.27956989247311825,0.19850339172000359,0.3781242169582882,0.18556701030927836,0.3888888888888889
qwen,all,first_chain_wrong,repair_tie_upper,leave_out:271828,2,800,31.0,96.0,0.3229166666666667,0.23775841402236636,0.4217016900105605,0.21495327102803738,0.4418665850673194
qwen,gsm8k,strict_all_wrong,repair_plurality,all_seeds,3,400,0.0,14.0,0.0,0.0,0.21531080273763575,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_plurality,leave_out:42,2,400,0.0,11.0,0.0,0.0,0.25883296696803165,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_plurality,leave_out:314159,2,400,0.0,9.0,0.0,0.0,0.299145048419544,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_plurality,leave_out:271828,2,400,0.0,8.0,0.0,0.0,0.3244075648838801,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_any,all_seeds,3,400,0.0,14.0,0.0,0.0,0.21531080273763575,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_any,leave_out:42,2,400,0.0,11.0,0.0,0.0,0.25883296696803165,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_any,leave_out:314159,2,400,0.0,9.0,0.0,0.0,0.299145048419544,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_any,leave_out:271828,2,400,0.0,8.0,0.0,0.0,0.3244075648838801,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_tie_lower,all_seeds,3,400,0.0,14.0,0.0,0.0,0.21531080273763575,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_tie_lower,leave_out:42,2,400,0.0,11.0,0.0,0.0,0.25883296696803165,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_tie_lower,leave_out:314159,2,400,0.0,9.0,0.0,0.0,0.299145048419544,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_tie_lower,leave_out:271828,2,400,0.0,8.0,0.0,0.0,0.3244075648838801,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_tie_upper,all_seeds,3,400,0.0,14.0,0.0,0.0,0.21531080273763575,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_tie_upper,leave_out:42,2,400,0.0,11.0,0.0,0.0,0.25883296696803165,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_tie_upper,leave_out:314159,2,400,0.0,9.0,0.0,0.0,0.299145048419544,0.0,0.0
qwen,gsm8k,strict_all_wrong,repair_tie_upper,leave_out:271828,2,400,0.0,8.0,0.0,0.0,0.3244075648838801,0.0,0.0
qwen,gsm8k,plurality_wrong,repair_plurality,all_seeds,3,400,0.0,20.0,0.0,1.3877787807814457e-17,0.1611251580528193,0.0,0.0
qwen,gsm8k,plurality_wrong,repair_plurality,leave_out:42,2,400,0.0,15.0,0.0,0.0,0.20388330103584854,0.0,0.0
qwen,gsm8k,plurality_wrong,repair_plurality,leave_out:314159,2,400,0.0,14.0,0.0,0.0,0.21531080273763575,0.0,0.0
qwen,gsm8k,plurality_wrong,repair_plurality,leave_out:271828,2,400,0.0,11.0,0.0,0.0,0.25883296696803165,0.0,0.0
qwen,gsm8k,plurality_wrong,repair_any,all_seeds,3,400,0.0,20.0,0.0,1.3877787807814457e-17,0.1611251580528193,0.0,0.0
qwen,gsm8k,plurality_wrong,repair_any,leave_out:42,2,400,0.0,15.0,0.0,0.0,0.20388330103584854,0.0,0.0
qwen,gsm8k,plurality_wrong,repair_any,leave_out:314159,2,400,0.0,14.0,0.0,0.0,0.21531080273763575,0.0,0.0
qwen,gsm8k,plurality_wrong,repair_any,leave_out:271828,2,400,0.0,11.0,0.0,0.0,0.25883296696803165,0.0,0.0
qwen,gsm8k,plurality_wrong,repair_tie_lower,all_seeds,3,400,0.0,20.0,0.0,1.3877787807814457e-17,0.1611251580528193,0.0,0.0
qwen,gsm8k,plurality_wrong,repair_tie_lower,leave_out:42,2,400,0.0,15.0,0.0,0.0,0.20388330103584854,0.0,0.0
qwen,gsm8k,plurality_wrong,repair_tie_lower,leave_out:314159,2,400,0.0,14.0,0.0,0.0,0.21531080273763575,0.0,0.0
qwen,gsm8k,plurality_wrong,repair_tie_lower,leave_out:271828,2,400,0.0,11.0,0.0,0.0,0.25883296696803165,0.0,0.0
qwen,gsm8k,plurality_wrong,repair_tie_upper,all_seeds,3,400,1.0,20.0,0.05,0.008881448800795375,0.236131193446742,0.0,0.20062499999999092
qwen,gsm8k,plurality_wrong,repair_tie_upper,leave_out:42,2,400,1.0,15.0,0.06666666666666667,0.011866895493268581,0.2981652987378002,0.0,0.25
qwen,gsm8k,plurality_wrong,repair_tie_upper,leave_out:314159,2,400,1.0,14.0,0.07142857142857142,0.012722215247890939,0.31468704424151117,0.0,0.2777777777777778
qwen,gsm8k,plurality_wrong,repair_tie_upper,leave_out:271828,2,400,0.0,11.0,0.0,0.0,0.25883296696803165,0.0,0.0
qwen,gsm8k,first_chain_wrong,repair_plurality,all_seeds,3,400,16.0,40.0,0.4,0.26348325684291923,0.554041063396538,0.22217514124293788,0.6428571428571429
qwen,gsm8k,first_chain_wrong,repair_plurality,leave_out:42,2,400,8.0,25.0,0.32,0.1720519030690799,0.5158973072689776,0.14285714285714285,0.5454545454545454
qwen,gsm8k,first_chain_wrong,repair_plurality,leave_out:314159,2,400,10.0,27.0,0.37037037037037035,0.21532512960965605,0.5577076558789762,0.19230769230769232,0.6086956521739131
qwen,gsm8k,first_chain_wrong,repair_plurality,leave_out:271828,2,400,14.0,28.0,0.5,0.32633127457293465,0.6736687254270654,0.2727272727272727,0.7692307692307693
qwen,gsm8k,first_chain_wrong,repair_any,all_seeds,3,400,20.0,40.0,0.5,0.35199526933465386,0.6480047306653461,0.3,0.75
qwen,gsm8k,first_chain_wrong,repair_any,leave_out:42,2,400,11.0,25.0,0.44,0.26665638881067355,0.6293266813020123,0.21052631578947367,0.7037581699346398
qwen,gsm8k,first_chain_wrong,repair_any,leave_out:314159,2,400,13.0,27.0,0.48148148148148145,0.30743226976218474,0.6601438424504771,0.27586206896551724,0.7368421052631579
qwen,gsm8k,first_chain_wrong,repair_any,leave_out:271828,2,400,16.0,28.0,0.5714285714285714,0.3907078562746876,0.734914528758763,0.35,0.8148148148148148
qwen,gsm8k,first_chain_wrong,repair_tie_lower,all_seeds,3,400,14.0,40.0,0.35,0.22134528873176293,0.504941191627423,0.19298245614035087,0.5714285714285714
qwen,gsm8k,first_chain_wrong,repair_tie_lower,leave_out:42,2,400,7.0,25.0,0.28,0.14283853850956563,0.47576605190361576,0.10714285714285714,0.5
qwen,gsm8k,first_chain_wrong,repair_tie_lower,leave_out:314159,2,400,9.0,27.0,0.3333333333333333,0.18643261498715652,0.5217523949267993,0.15789473684210525,0.5652173913043478
qwen,gsm8k,first_chain_wrong,repair_tie_lower,leave_out:271828,2,400,12.0,28.0,0.42857142857142855,0.26508547124123705,0.6092921437253124,0.23529411764705882,0.6785714285714286
qwen,gsm8k,first_chain_wrong,repair_tie_upper,all_seeds,3,400,16.0,40.0,0.4,0.26348325684291923,0.554041063396538,0.22217514124293788,0.6428571428571429
qwen,gsm8k,first_chain_wrong,repair_tie_upper,leave_out:42,2,400,8.0,25.0,0.32,0.1720519030690799,0.5158973072689776,0.14285714285714285,0.5454545454545454
qwen,gsm8k,first_chain_wrong,repair_tie_upper,leave_out:314159,2,400,10.0,27.0,0.37037037037037035,0.21532512960965605,0.5577076558789762,0.19230769230769232,0.6086956521739131
qwen,gsm8k,first_chain_wrong,repair_tie_upper,leave_out:271828,2,400,14.0,28.0,0.5,0.32633127457293465,0.6736687254270654,0.2727272727272727,0.7692307692307693
qwen,math,strict_all_wrong,repair_plurality,all_seeds,3,400,0.0,36.0,0.0,0.0,0.09641862859446362,0.0,0.0
qwen,math,strict_all_wrong,repair_plurality,leave_out:42,2,400,0.0,23.0,0.0,0.0,0.14311661845042678,0.0,0.0
qwen,math,strict_all_wrong,repair_plurality,leave_out:314159,2,400,0.0,25.0,0.0,0.0,0.13319225093904843,0.0,0.0
qwen,math,strict_all_wrong,repair_plurality,leave_out:271828,2,400,0.0,24.0,0.0,0.0,0.13797620467498012,0.0,0.0
qwen,math,strict_all_wrong,repair_any,all_seeds,3,400,0.0,36.0,0.0,0.0,0.09641862859446362,0.0,0.0
qwen,math,strict_all_wrong,repair_any,leave_out:42,2,400,0.0,23.0,0.0,0.0,0.14311661845042678,0.0,0.0
qwen,math,strict_all_wrong,repair_any,leave_out:314159,2,400,0.0,25.0,0.0,0.0,0.13319225093904843,0.0,0.0
qwen,math,strict_all_wrong,repair_any,leave_out:271828,2,400,0.0,24.0,0.0,0.0,0.13797620467498012,0.0,0.0
qwen,math,strict_all_wrong,repair_tie_lower,all_seeds,3,400,0.0,36.0,0.0,0.0,0.09641862859446362,0.0,0.0
qwen,math,strict_all_wrong,repair_tie_lower,leave_out:42,2,400,0.0,23.0,0.0,0.0,0.14311661845042678,0.0,0.0
qwen,math,strict_all_wrong,repair_tie_lower,leave_out:314159,2,400,0.0,25.0,0.0,0.0,0.13319225093904843,0.0,0.0
qwen,math,strict_all_wrong,repair_tie_lower,leave_out:271828,2,400,0.0,24.0,0.0,0.0,0.13797620467498012,0.0,0.0
qwen,math,strict_all_wrong,repair_tie_upper,all_seeds,3,400,0.0,36.0,0.0,0.0,0.09641862859446362,0.0,0.0
qwen,math,strict_all_wrong,repair_tie_upper,leave_out:42,2,400,0.0,23.0,0.0,0.0,0.14311661845042678,0.0,0.0
qwen,math,strict_all_wrong,repair_tie_upper,leave_out:314159,2,400,0.0,25.0,0.0,0.0,0.13319225093904843,0.0,0.0
qwen,math,strict_all_wrong,repair_tie_upper,leave_out:271828,2,400,0.0,24.0,0.0,0.0,0.13797620467498012,0.0,0.0
qwen,math,plurality_wrong,repair_plurality,all_seeds,3,400,0.0,42.0,0.0,0.0,0.08379879086570388,0.0,0.0
qwen,math,plurality_wrong,repair_plurality,leave_out:42,2,400,0.0,26.0,0.0,0.0,0.12872892185921525,0.0,0.0
qwen,math,plurality_wrong,repair_plurality,leave_out:314159,2,400,0.0,30.0,0.0,0.0,0.11351339317396873,0.0,0.0
qwen,math,plurality_wrong,repair_plurality,leave_out:271828,2,400,0.0,28.0,0.0,0.0,0.12064330476584559,0.0,0.0
qwen,math,plurality_wrong,repair_any,all_seeds,3,400,0.0,42.0,0.0,0.0,0.08379879086570388,0.0,0.0
qwen,math,plurality_wrong,repair_any,leave_out:42,2,400,0.0,26.0,0.0,0.0,0.12872892185921525,0.0,0.0
qwen,math,plurality_wrong,repair_any,leave_out:314159,2,400,0.0,30.0,0.0,0.0,0.11351339317396873,0.0,0.0
qwen,math,plurality_wrong,repair_any,leave_out:271828,2,400,0.0,28.0,0.0,0.0,0.12064330476584559,0.0,0.0
qwen,math,plurality_wrong,repair_tie_lower,all_seeds,3,400,0.0,42.0,0.0,0.0,0.08379879086570388,0.0,0.0
qwen,math,plurality_wrong,repair_tie_lower,leave_out:42,2,400,0.0,26.0,0.0,0.0,0.12872892185921525,0.0,0.0
qwen,math,plurality_wrong,repair_tie_lower,leave_out:314159,2,400,0.0,30.0,0.0,0.0,0.11351339317396873,0.0,0.0
qwen,math,plurality_wrong,repair_tie_lower,leave_out:271828,2,400,0.0,28.0,0.0,0.0,0.12064330476584559,0.0,0.0
qwen,math,plurality_wrong,repair_tie_upper,all_seeds,3,400,0.0,42.0,0.0,0.0,0.08379879086570388,0.0,0.0
qwen,math,plurality_wrong,repair_tie_upper,leave_out:42,2,400,0.0,26.0,0.0,0.0,0.12872892185921525,0.0,0.0
qwen,math,plurality_wrong,repair_tie_upper,leave_out:314159,2,400,0.0,30.0,0.0,0.0,0.11351339317396873,0.0,0.0
qwen,math,plurality_wrong,repair_tie_upper,leave_out:271828,2,400,0.0,28.0,0.0,0.0,0.12064330476584559,0.0,0.0
qwen,math,first_chain_wrong,repair_plurality,all_seeds,3,400,24.0,99.0,0.24242424242424243,0.1686628935812074,0.3354281550597947,0.14285714285714285,0.36363636363636365
qwen,math,first_chain_wrong,repair_plurality,leave_out:42,2,400,15.0,64.0,0.234375,0.1474989559392414,0.3513325758256864,0.11938401214267647,0.37098842018196826
qwen,math,first_chain_wrong,repair_plurality,leave_out:314159,2,400,16.0,66.0,0.24242424242424243,0.15509184941772047,0.3580912860134978,0.136986301369863,0.3684412955465584
qwen,math,first_chain_wrong,repair_plurality,leave_out:271828,2,400,17.0,68.0,0.25,0.16235013970552145,0.3643855285545138,0.13792025862068966,0.3787878787878788
qwen,math,first_chain_wrong,repair_any,all_seeds,3,400,37.0,99.0,0.37373737373737376,0.2848318300138313,0.47207554677097374,0.25274725274725274,0.5096200980392156
qwen,math,first_chain_wrong,repair_any,leave_out:42,2,400,24.0,64.0,0.375,0.26665980178824633,0.49749621315995496,0.24589444923784873,0.5230769230769231
qwen,math,first_chain_wrong,repair_any,leave_out:314159,2,400,27.0,66.0,0.4090909090909091,0.2986741800934038,0.5295081029999675,0.27631578947368424,0.5573849306431272
qwen,math,first_chain_wrong,repair_any,leave_out:271828,2,400,23.0,68.0,0.3382352941176471,0.23714253215255418,0.45662760613335096,0.20833333333333334,0.4838709677419355
qwen,math,first_chain_wrong,repair_tie_lower,all_seeds,3,400,23.0,99.0,0.23232323232323232,0.16009113599176228,0.3245525027920242,0.1340183173784978,0.35106382978723405
qwen,math,first_chain_wrong,repair_tie_lower,leave_out:42,2,400,15.0,64.0,0.234375,0.1474989559392414,0.3513325758256864,0.11938401214267647,0.37098842018196826
qwen,math,first_chain_wrong,repair_tie_lower,leave_out:314159,2,400,15.0,66.0,0.22727272727272727,0.14285229563373036,0.34169455364638307,0.12345256215119228,0.3508771929824561
